timestamp,total_decisions,blocked_count,allowed_count,avg_decision_delay
1789652477.1472208,54460,0,54460,1.685
1789652477.1528666,54470,0,54470,1.685
1789652477.1620533,54480,0,54480,1.685
1789652477.1683397,54490,0,54490,1.685
1789652477.1759737,54500,0,54500,1.686
1789652477.181778,54510,0,54510,1.686
1789652477.189697,54520,0,54520,1.686
1789652477.196181,54530,0,54530,1.686
1789652477.2048573,54540,0,54540,1.686
1789652477.2112799,54550,0,54550,1.686
1789652477.2198362,54560,0,54560,1.686
1789652477.2285256,54570,0,54570,1.687
1789652477.2381089,54580,0,54580,1.687
1789652477.246264,54590,0,54590,1.687
1789652477.254516,54600,0,54600,1.687
1789652477.2682319,54610,0,54610,1.687
1789652477.2749968,54620,0,54620,1.688
1789652477.2935617,54630,0,54630,1.688
1789652477.3014448,54640,0,54640,1.688
1789652477.307766,54650,0,54650,1.688
1789652477.3186104,54660,0,54660,1.688
1789652477.3243341,54670,0,54670,1.688
1789652477.3328185,54680,0,54680,1.689
1789652477.3430111,54690,0,54690,1.689
1789652477.3527398,54700,0,54700,1.689
1789652477.3610408,54710,0,54710,1.689
1789652477.371286,54720,0,54720,1.689
1789652477.3815076,54730,0,54730,1.689
1789652477.389766,54740,0,54740,1.69
1789652477.400067,54750,0,54750,1.69
1789652477.4133253,54760,0,54760,1.69
1789652477.426202,54770,0,54770,1.69
1789652477.437137,54780,0,54780,1.69
1789652477.452818,54790,0,54790,1.691
1789652477.4608066,54800,0,54800,1.691
1789652477.468317,54810,0,54810,1.691
1789652477.486036,54820,0,54820,1.691
1789652477.4987123,54830,0,54830,1.691
1789652477.5085688,54840,0,54840,1.692
1789652477.5261939,54850,0,54850,1.692
1789652477.5415747,54860,0,54860,1.692
1789652477.5503926,54870,0,54870,1.692
1789652477.5627146,54880,0,54880,1.692
1789652477.5690868,54890,0,54890,1.693
1789652477.5751486,54900,0,54900,1.693
1789652477.581192,54910,0,54910,1.693
1789652477.5866594,54920,0,54920,1.693
1789652477.5922377,54930,0,54930,1.694
1789652477.5984757,54940,0,54940,1.694
1789652477.6038485,54950,0,54950,1.694
1789652477.609548,54960,0,54960,1.694
1789652477.616195,54970,0,54970,1.694
1789652477.621346,54980,0,54980,1.695
1789652477.6270595,54990,0,54990,1.695
1789652477.6333678,55000,0,55000,1.695
1789652477.6409764,55010,0,55010,1.695
1789652477.6518888,55020,0,55020,1.695
1789652477.6607769,55030,0,55030,1.696
1789652477.674302,55040,0,55040,1.696
1789652477.6847804,55050,0,55050,1.696
1789652477.697686,55060,0,55060,1.696
1789652477.7035892,55070,0,55070,1.697
1789652477.7111084,55080,0,55080,1.697
1789652477.7175252,55090,0,55090,1.697
1789652477.7310662,55100,0,55100,1.697
1789652477.7391524,55110,0,55110,1.698
1789652477.7465012,55120,0,55120,1.698
1789652477.7540452,55130,0,55130,1.698
1789652477.760145,55140,0,55140,1.698
1789652477.7653422,55150,0,55150,1.698
1789652477.7737563,55160,0,55160,1.699
1789652477.7801278,55170,0,55170,1.699
1789652477.786657,55180,0,55180,1.699
1789652477.7920156,55190,0,55190,1.699
1789652477.797247,55200,0,55200,1.7
1789652477.8034387,55210,0,55210,1.7
1789652477.8087833,55220,0,55220,1.7
1789652477.8152528,55230,0,55230,1.7
1789652477.8222985,55240,0,55240,1.701
1789652477.8311415,55250,0,55250,1.701
1789652477.8471906,55260,0,55260,1.701
1789652477.8553674,55270,0,55270,1.701
1789652477.8678067,55280,0,55280,1.702
1789652477.8754086,55290,0,55290,1.702
1789652477.8869476,55300,0,55300,1.702
1789652477.9045799,55310,0,55310,1.702
1789652477.913522,55320,0,55320,1.703
1789652477.9228482,55330,0,55330,1.703
1789652477.930247,55340,0,55340,1.703
1789652477.9371357,55350,0,55350,1.703
1789652477.9443283,55360,0,55360,1.704
1789652477.9510658,55370,0,55370,1.704
1789652477.9579966,55380,0,55380,1.704
1789652477.963735,55390,0,55390,1.704
1789652477.9694517,55400,0,55400,1.705
1789652477.9770553,55410,0,55410,1.705
1789652477.9851942,55420,0,55420,1.705
1789652477.9954534,55430,0,55430,1.705
1789652478.0141087,55440,0,55440,1.706
1789652478.026583,55450,0,55450,1.706
1789652478.0372336,55460,0,55460,1.706
1789652478.0504036,55470,0,55470,1.707
1789652478.0667512,55480,0,55480,1.707
1789652478.0884652,55490,0,55490,1.707
1789652478.1037207,55500,0,55500,1.707
1789652478.119435,55510,0,55510,1.708
1789652478.1354325,55520,0,55520,1.708
1789652478.1442819,55530,0,55530,1.708
1789652478.1546485,55540,0,55540,1.708
1789652478.1654284,55550,0,55550,1.709
1789652478.1766942,55560,0,55560,1.709
1789652478.1885424,55570,0,55570,1.709
1789652478.1945717,55580,0,55580,1.71
1789652478.2002163,55590,0,55590,1.71
1789652478.206564,55600,0,55600,1.71
1789652478.2140486,55610,0,55610,1.711
1789652478.221685,55620,0,55620,1.711
1789652478.2277198,55630,0,55630,1.711
1789652478.2355218,55640,0,55640,1.711
1789652478.2461712,55650,0,55650,1.712
1789652478.2586787,55660,0,55660,1.712
1789652478.2699707,55670,0,55670,1.712
1789652478.2790596,55680,0,55680,1.713
1789652478.2877963,55690,0,55690,1.713
1789652478.29686,55700,0,55700,1.713
1789652478.3271432,55710,0,55710,1.714
1789652478.3395767,55720,0,55720,1.714
1789652478.3520613,55730,0,55730,1.714
1789652478.3628488,55740,0,55740,1.714
1789652478.3773108,55750,0,55750,1.715
1789652478.3899753,55760,0,55760,1.715
1789652478.398564,55770,0,55770,1.715
1789652478.4052567,55780,0,55780,1.716
